아티스트e	아티스트k	장르	멤버	역할	앨범	곡	프로그램	브랜드	음원플랫폼	수상	기획사	행사	외국지명	팬덤k	팬덤e	기타	배우e	배우k	한국지명	직업	행사2	수상2	방송플랫폼	작품	장르2	기업
			진솔																	구청장						
			진진																	군수						
			쯔위																	도지사						
			차은우																	시장						
			찬열																	주지사						
			찬희																	교육감						
			창빈																	감정평가사						
			채령																	검사						
			채영																	경찰						
			채현																	형사						
			천러																	해양경찰						
			첸																	경비원						
			최리																	경호원						
			츄																	공인노무사						
			카리나																	공인중개사						
			카이																	공인회계사						
			케빈																	군인						
			쿤																	장교						
			큐																	준사관						
			태민																	부사관						
			태연																	민간군사기업직원						
			태영																	군무원						
			태용																	방위산어베						
			태일																	국정원						
			태현																	부사관과						
			텐																	교도관						
			티파니																	관세사						
			프니엘																	세관						
			필릭스																	법무사						
			하슬																	변리사						
			한																	변호사						
			해찬																	보안관						
			헨드리																	보험중개사						
			현재																	세무사						
			현진																	집행관						
			현진																	탐정						
			형원																	프로파일러						
			형준																	행정사						
			호시																	판사						
			홍중																	사냥꾼						
			화사																	경영지도사						
			효연																	용병						
			효정																	간첩						
			휘영																	소방관						
			휘인																	예언가						
			휴닝카이																	점쟁이						
			희승																	종교인						
			희진																	목사						
			희철																	장로						
			선미																	전도사						
			아이유																	강도사						
			이하이																	무녀						
			전소미																	무당						
			청하																	선교사						
			헤이즈																	성직자						
			현아																	사제						
			백예린																	프리스트						
			이하이																	신부						
			권은비																	주교						
			송가인																	추기경						
			신유미																	교황						
			신현희																	신관						
			하성운																	선지자						
			애쉬아일랜드																	수도자						
			타이거JK																	승려						
			찬혁																	스님						
			뱀뱀																	음양사						
			마시로																	사이비종교						
			딘딘																	기업인						
			조유리																	회사원						
			허니제이																	임원						
			하유비																	회장						
			박문치																	부회장						
			박보은																	사장						
																				부사장						
																				전무이사						
																				상무이사						
																				이사						
																				중간관리직						
																				부장						
																				차장						
																				과장						
																				계장						
																				실무자						
																				대리						
																				주임						
																				사원						
																				인턴						
																				서점						
																				편의점						
																				슈퍼마켓						
																				백화점						
																				약국						
																				마트						
																				지하상가						
																				도서대여점						
																				렌터카						
																				만화방						
																				카페						
																				분식점						
																				프랜차이즈						
																				식당						
																				레스토랑						
																				중국집						
																				고깃집						
																				통신판매업						
																				횟집						
																				다방						
																				전매상						
																				대형마트						
																				브로커						
																				미용사						
																				동물원						
																				수족관						
																				식물원						
																				플로리스트						
																				브리더						
																				여관						
																				모텔						
																				호텔리어						
																				펜션						
																				가이드						
																				안내사						
																				문화여가사						
																				레크리에이션강사						
																				GEO						
																				파티플레너						
																				여행상품개발자						
																				문화관광해설사						
																				탐험가						
																				산악인						
																				헌터						
																				고고학자						
																				니트족						
																				히키코모리						
																				폐인						
																				실업자						
																				캥거루족						
																				노숙자						
																				도박꾼						
																				술고래						
																				올빼미족						
																				폭주족						
																				청년실업						
																				딜러						
																				갬블러						
																				앵벌이						
																				꽃제비						
																				스트리퍼						
																				창녀						
																				매춘부						
																				남창						
																				AV배우						
																				AV남배우						
																				AV여배우						
																				포르노						
																				키스방						
																				집창촌						
																				스트립극장						
																				섹스자원봉사						
																				기생						
																				성매매						
																				호스트바						
																				도적						
																				해적						
																				산적						
																				마적						
																				마피아						
																				갱						
																				갱단						
																				카르텔						
																				히트맨						
																				야쿠자						
																				테러리스트						
																				흑사회						
																				삼합회						
																				조직폭력배						
																				도둑						
																				강도						
																				직무						
																				전문직						
																				듀얼리스트						
																				마법사						
																				소환사						
																				히어로						
																				슈퍼히어로						
																				연금술사						
																				용사						
																				정령사						
																				정보상						
																				오러						
																				퀴디치선수						
																				노동자						
																				면허증						
																				자격증						
																				장래희망						
																				직업소개소						
																				취업						
																				워크넷						
																				키자니아						
																				잡월드						
